mark,model,vollume,power
Ducati,Monster 900,901.6,47.6
Ducati,Monster S2R,966.3333333333334,32.333333333333336
Ducati,Monster S4,955.1428571428571,89.23809523809524
Ducati,Multistrada 1000,997.0909090909091,80.9090909090909
Ducati,Multistrada 1100,1100.0,48.0
Ducati,Multistrada 1200,1199.6603773584907,122.66037735849056
Ducati,Multistrada 1260,1260.8,158.8
Ducati,Multistrada 620,625.0,1.0
Ducati,Multistrada 950,944.0,113.5
Ducati,Multistrada V4,1160.0526315789473,153.78947368421052
Ducati,Panigale S,111.0,1.0
Ducati,Panigale V2,964.8888888888889,121.88888888888889
Ducati,Panigale V4,1101.0833333333333,201.0
Ducati,ST,957.5,64.5
Ducati,Scrambler,791.328125,47.59375
Ducati,Scrambler 1100,1089.5,72.16666666666667
Ducati,SportClassic,1000.0,92.0
Ducati,Streetfighter,890.5,135.83333333333334
Ducati,Streetfighter V2,955.0,153.0
Ducati,Streetfighter V4,1107.0,187.42105263157896
Ducati,SuperSport,886.7,75.45
Ducati,XDiavel,1260.1052631578948,149.10526315789474
Harley-Davidson,1,1623.9571428571428,58.8
Harley-Davidson,Blackline,1497.5,42.0
Harley-Davidson,Breakout,1702.4285714285713,61.79220779220779
Harley-Davidson,CVO,1719.5744680851064,55.02127659574468
Harley-Davidson,CVO Limited,1842.4705882352941,53.35294117647059
Harley-Davidson,CVO Pan America,1250.0,150.66666666666666
Harley-Davidson,CVO Pro Street Breakout,1734.0,1.0
Harley-Davidson,CVO Road Glide,1815.2028985507247,73.76811594202898
Harley-Davidson,CVO Road Glide Limited,1641.7241379310344,49.48275862068966
Harley-Davidson,CVO Road Glide ST,1860.8333333333333,63.0
Harley-Davidson,CVO Street Glide,1774.5873015873017,53.74603174603175
Harley-Davidson,CVO Tri Glide,1800.0,100.0
Harley-Davidson,Cross Bones,1696.0,51.8
Harley-Davidson,Dyna Convertible,1803.0,88.0
Harley-Davidson,Dyna Glide Custom,2000.0,130.0
Harley-Davidson,Dyna Low Rider,1551.607142857143,53.535714285714285
Harley-Davidson,Dyna Super Glide,1519.5333333333333,45.3
Harley-Davidson,Dyna Switchback,1629.2727272727273,51.45454545454545
Harley-Davidson,Dyna Wide Glide,1531.642857142857,35.714285714285715
Harley-Davidson,Electra Glide,1543.338028169014,49.286384976525824
Harley-Davidson,Electra Glide Revival,1250.0,152.0
Harley-Davidson,FXDR 114,1729.0588235294117,67.94117647058823
Harley-Davidson,Fat Bob,1661.8064516129032,58.40860215053763
Harley-Davidson,Fat Boy,1669.1121495327102,58.4392523364486
Harley-Davidson,Forty-Eight,1451.8333333333333,68.61111111111111
Harley-Davidson,Freewheeler,1577.8,50.6
Harley-Davidson,Heritage,1589.1475409836066,49.22950819672131
Harley-Davidson,LiveWire,1204.7777777777778,73.88888888888889
Harley-Davidson,Low Rider,1637.90625,59.84375
Harley-Davidson,Low Rider ST,1707.4,61.96666666666667
Harley-Davidson,Night Rod,1406.4444444444443,71.11111111111111
Harley-Davidson,Nightster,1373.5333333333333,72.33333333333333
Harley-Davidson,Pan America,1480.148148148148,80.51851851851852
Harley-Davidson,Pan America Special,1420.72,84.28
Harley-Davidson,Road Glide,1695.409090909091,46.27272727272727
Harley-Davidson,Road Glide Limited,1770.7333333333333,46.56666666666667
Harley-Davidson,Road Glide ST,1902.6666666666667,30.0
Harley-Davidson,Road Glide Special,1729.5833333333333,65.27777777777777
Harley-Davidson,Road King,1582.3805309734514,50.92035398230089
Harley-Davidson,Rocker C,1515.111111111111,46.888888888888886
Harley-Davidson,Softail Custom,1684.4545454545455,78.63636363636364
Harley-Davidson,Softail Deluxe,1560.84,49.32
Harley-Davidson,Softail Deuce,1433.5,55.75
Harley-Davidson,Softail Slim,1798.375,68.5
Harley-Davidson,Softail Standard,1654.655172413793,56.10344827586207
Harley-Davidson,Sport Glide,1619.6190476190477,58.11904761904762
Harley-Davidson,Sportster 1000,1000.0,55.0
Harley-Davidson,Sportster 1200,1435.2434782608696,51.31304347826087
Harley-Davidson,Sportster 883,1254.5384615384614,54.93269230769231
Harley-Davidson,Sportster S,1430.4084507042253,68.6056338028169
Harley-Davidson,Springer Softail,1511.6,32.2
Harley-Davidson,Street 500,500.0,25.5
Harley-Davidson,Street 750,1315.128205128205,53.1025641025641
Harley-Davidson,Street Bob,1582.8333333333333,58.916666666666664
Harley-Davidson,Street Glide,1650.1860465116279,60.26744186046512
Harley-Davidson,Street Glide ST,1652.25,64.58333333333333
Harley-Davidson,Street Glide Special,1678.1875,68.89583333333333
Harley-Davidson,Street Rod,1340.3428571428572,60.371428571428574
Harley-Davidson,Sturgis,1900.0,1.0
Harley-Davidson,Super Glide,1443.5,87.5
Harley-Davidson,Tour Glide,1340.0,1.0
Harley-Davidson,Tri Glide,1660.2916666666667,54.375
Harley-Davidson,Ultra Limited,1581.6842105263158,43.719298245614034
Harley-Davidson,V-Rod,1364.9574468085107,79.04255319148936
Harley-Davidson,V-Rod Muscle,1411.409090909091,83.81818181818181
Harley-Davidson,WL,598.4,15.2
Harley-Davidson,XR1200,1309.8,87.4
Honda,400X,399.6666666666667,30.761904761904763
Honda,AX-1,249.5,15.0
Honda,Africa Twin CRF 1000L/1100L,1049.2931034482758,87.98275862068965
Honda,Ape 50,49.0,4.0
Honda,Bros,441.3333333333333,40.0
Honda,CB 1000,999.75,96.75
Honda,CB 1000R,998.7954545454545,125.06818181818181
Honda,CB 1100,1111.7,74.2
Honda,CB 125,124.66666666666667,9.0
Honda,CB 1300,1287.0,95.03571428571429
Honda,CB 190X (Wuyang),189.0,16.0
Honda,CB 200X,184.0,17.0
Honda,CB 223S,223.0,16.0
Honda,CB 250F (Hornet),249.8,34.6
Honda,CB 300F,406.0,21.444444444444443
Honda,CB 300R,294.57142857142856,26.785714285714285
Honda,CB 350,348.5,21.166666666666668
Honda,CB 350RS,348.0,21.0
Honda,CB 400 Super Four,399.5925925925926,45.22222222222222
Honda,CB 400F,399.5,46.666666666666664
Honda,CB 400SS,377.44444444444446,24.22222222222222
Honda,CB 500,500.0,58.0
Honda,CB 500F,492.75,35.75
Honda,CB 500X,476.5,46.875
